metric,bin,group1,group2,p_value,test
frequency,0-5,ALL,ALL,0.0328673454517868,Kruskal-Wallis
frequency,5-10,ALL,ALL,0.00662558682768002,Kruskal-Wallis
frequency,10-15,ALL,ALL,0.00168393366236455,Kruskal-Wallis
frequency,15-20,ALL,ALL,0.00168688896059774,Kruskal-Wallis
frequency,20-25,ALL,ALL,0.00122986568657464,Kruskal-Wallis
frequency,25-30,ALL,ALL,0.000236770257401759,Kruskal-Wallis
duration,0-5,ALL,ALL,0.000210713368142221,Kruskal-Wallis
duration,5-10,ALL,ALL,0.00022100024055239,Kruskal-Wallis
duration,10-15,ALL,ALL,0.000129503858386399,Kruskal-Wallis
duration,15-20,ALL,ALL,0.000150888962358274,Kruskal-Wallis
duration,20-25,ALL,ALL,0.00022100024055239,Kruskal-Wallis
duration,25-30,ALL,ALL,7.90046165867984e-05,Kruskal-Wallis
burden,0-5,ALL,ALL,0.000197735143110379,Kruskal-Wallis
burden,5-10,ALL,ALL,0.000171370136948635,Kruskal-Wallis
burden,10-15,ALL,ALL,0.000189729147516393,Kruskal-Wallis
burden,15-20,ALL,ALL,0.00022100024055239,Kruskal-Wallis
burden,20-25,ALL,ALL,0.00022100024055239,Kruskal-Wallis
burden,25-30,ALL,ALL,7.90046165867984e-05,Kruskal-Wallis
AUC_events,AUC,ALL,ALL,0.000197315152196881,Kruskal-Wallis
AUC_burden,AUC,ALL,ALL,0.000140235666560843,Kruskal-Wallis
frequency,0-5,WT,HOM,0.0108225108225108,Wilcoxon rank-sum
duration,0-5,WT,HOM,0.00216450216450216,Wilcoxon rank-sum
burden,0-5,WT,HOM,0.00216450216450216,Wilcoxon rank-sum
frequency,0-5,WT,HOM+Ctrl,0.0454545454545455,Wilcoxon rank-sum
duration,0-5,WT,HOM+Ctrl,0.00216450216450216,Wilcoxon rank-sum
burden,0-5,WT,HOM+Ctrl,0.00216450216450216,Wilcoxon rank-sum
frequency,0-5,WT,HOM+Kv1.1,0.0151515151515152,Wilcoxon rank-sum
